image_id,filename,group,room,direction,furniture,gt_mm,gt_source,exif_focal_mm,wall_visible,note
001,올림픽파크포레온_202동27층_방1.png,A,작은침실(좌),좌우,empty,3000,네이버도면,N/A,both_clear,벽중심선 기준
002,올림픽파크포레온_202동27층_방2.png,A,작은침실(우),좌우,empty,2700,네이버도면,N/A,both_clear,벽중심선 기준
003,올림픽파크포레온_116동고층_거실.png,A,거실,좌우,empty,4500,네이버도면,N/A,both_clear,벽중심선 기준
004,올림픽파크포레온_116동고층_큰침실.png,A,안방,좌우,empty,3600,네이버도면,N/A,both_clear,발코니유리 주의
005,올림픽파크포레온_321동고층_62_24__39_95__거실1방향.png,A,거실,앞뒤,empty,3100,네이버도면,N/A,one_unclear,벽 끝에만 보임
006,올림픽파크포레온_321동고층_62_24__39_95__거실2방향.png,A,거실,앞뒤,empty,3100,네이버도면,N/A,one_unclear,거실1과 유사
007,올림픽파크포레온_321동고층_62_24__39_95__거실3방향.png,A,거실,앞뒤,empty,3100,네이버도면,N/A,one_unclear,거실1과 유사
008,올림픽파크포레온_424동고층_거실.png,A,거실,좌우,empty,4500,네이버도면,N/A,one_unclear,"코너 촬영, 주방+냉장고 가림"
009,올림픽파크포레온_424동고층_큰침실.png,A,안방,좌우,empty,3600,네이버도면,N/A,both_clear,발코니유리 앞뒤방향
010,올림픽파크포레온_411동고층_거실1방향.png,A,거실,좌우,empty,5400,네이버도면,N/A,both_clear,"창문 정면, 우측 대리석 벽"
011,올림픽파크포레온_411동고층_거실2방향.png,A,거실,좌우,empty,5400,네이버도면,N/A,both_clear,"복도 방향, 좌측 대리석 벽"
012,올림픽파크포레온_420동고층_85_28__59_99__화장실방.png,A,침실(발코니),좌우,empty,3300,네이버도면,N/A,both_clear,발코니문 정면
013,올림픽파크포레온_420동고층_85_28__59_99__거실.png,A,거실,좌우,empty,4000,네이버도면,N/A,both_clear,좌측 패널 벽
014,올림픽파크포레온_420동고층_85_28__59_99__2700작은침실.png,A,작은침실,좌우,empty,2700,네이버도면,N/A,both_clear,"좌측 창문, 좁은 방"
015,올림픽파크포레온_201동고층__62_24__39_95__거실1방향.png,A,거실,좌우,empty,3100,네이버도면,N/A,both_clear,"복도 방향, 우측 패널 벽"
016,올림픽파크포레온_201동고층__62_24__39_95__거실2방향.png,A,거실,좌우,empty,3100,네이버도면,N/A,both_clear,"발코니 방향, 좌측 패널 벽"
017,올림픽파크포레온_201동고층__62_24__39_95__왼쪽큰침실.png,A,침실(좌),앞뒤,normal,2700,네이버도면,N/A,both_clear,빌트인 붙박이장 열린 상태
018,올림픽파크포레온_411동고층_거실.png,A,거실,좌우,normal,5400,네이버도면,N/A,both_clear,소파·TV장·크리스마스트리
019,올림픽파크포레온_320동중층_62_39__39_98__거실.png,A,거실,좌우,empty,3000,네이버도면,N/A,one_unclear,"코너 촬영, 우측 흰 벽"
020,올림픽파크포레온_407동중층_113_45__84_98__거실.png,A,거실,좌우,empty,4500,네이버도면,N/A,both_clear,"창문 정면, 좌측 패널 벽"
021,올림픽파크포레온_411동고층_다른이미지__165_46__134_98__거실1방향.png,A,거실,좌우,empty,5400,네이버도면,N/A,both_clear,"창문 정면, 좌측 대리석 벽, 공사자재"
022,올림픽파크포레온_411동고층_다른이미지__165_46__134_98__거실1방향확대.png,A,거실,좌우,empty,5400,네이버도면,N/A,both_clear,021 확대샷
023,올림픽파크포레온_411동고층_다른이미지__165_46__134_98__거실2방향.png,A,거실,좌우,empty,5400,네이버도면,N/A,both_clear,"주방 방향, 우측 대리석 벽"
024,올림픽파크포레온_411동고층_다른이미지__165_46__134_98__큰침실.png,A,안방,좌우,empty,4200,네이버도면,N/A,both_clear,발코니 슬라이딩 도어 정면
025,올림픽파크포레온_121동고층_125_41__95_97__거실1방향.png,A,거실,좌우,empty,4800,네이버도면,N/A,both_clear,"주방 방향, 좌측 대리석 벽"
026,올림픽파크포레온_121동고층_125_41__95_97__거실2방향.png,A,거실,좌우,empty,4800,네이버도면,N/A,both_clear,"창문 방향, 우측 대리석 벽"
027,개포자이프레지던스_422동중층_110_79__84_75__거실.png,A,거실,좌우,empty,4500,네이버도면,N/A,both_clear,"창문 정면, 양쪽 흰 벽"
028,개포자이프레지던스_422동중층_110_79__84_75__큰침실.png,A,안방,좌우,empty,3600,네이버도면,N/A,one_unclear,드레스룸·파우더룸 입구 방향
029,개포자이프레지던스_408동저층_110_79__84_75__거실1방향.png,A,거실,좌우,empty,4500,네이버도면,N/A,both_clear,"창문 정면, 좌측 패널 벽"
030,개포자이프레지던스_408동저층_110_79__84_75__거실2방향.png,A,거실,좌우,empty,4500,네이버도면,N/A,one_unclear,"코너 촬영, 좌측 벽 잘림"
031,개포자이프레지던스_422동25층_150_21__114_18__거실.jpg,A,거실,좌우,empty,5300,네이버도면,N/A,both_clear,"창문 정면, 양쪽 패널 벽"
032,개포자이프레지던스_419동고층_171_3__132_81__거실.png,A,거실,좌우,empty,5100,네이버도면,N/A,both_clear,"광각 왜곡, 좌측 패널 벽"
033,개포자이프레지던스_419동18층_171_3__132_81__거실1방향.png,A,거실,좌우,empty,5100,네이버도면,N/A,one_unclear,"코너 촬영, 좌측 벽 잘림"
034,개포자이프레지던스_419동18층_171_3__132_81__거실2방향.png,A,거실,좌우,empty,5100,네이버도면,N/A,both_clear,"좌측 패널 벽, 우측 창문"
035,래미안원베일리_115동31층_113_76__84_93__거실1방향_4500.jpg,A,거실,좌우,empty,4500,네이버도면,N/A,both_clear,"창문 우측, 좌측 패널 벽"
